                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 3.3059,                 4.3269,                 4.1887,                0.00176,                0.43911,                0.00273,                0.00101,                 2.8912,                 4.4223,                 4.1297,              0.0003636,              0.0003636,              0.0003636
                      1,                 3.2001,                 4.1354,                 3.8929,                0.00089,                0.06197,                  0.001,                0.00047,                 3.7772,                 6.5206,                 5.7661,             0.00072909,             0.00072909,             0.00072909
                      2,                 2.9692,                 4.1038,                 3.6233,                0.00365,                0.33186,                0.00684,                0.00208,                 3.1247,                 6.9748,                 4.7691,              0.0010897,              0.0010897,              0.0010897
                      3,                 2.8404,                  4.053,                 3.4169,                0.00192,                0.16107,                0.00156,                0.00034,                 2.9712,                 9.1062,                 4.1512,               0.001089,               0.001089,               0.001089
                      4,                 2.7804,                 3.9784,                 3.2754,                0.00371,                0.48869,                0.00555,                 0.0015,                 2.8251,                 6.8599,                  3.408,               0.001089,               0.001089,               0.001089
                      5,                 2.6723,                 3.9056,                 3.1765,                0.00421,                 0.6236,                0.02146,                0.00646,                 2.5565,                 7.2481,                  3.169,              0.0010817,              0.0010817,              0.0010817
                      6,                 2.5224,                 3.7931,                 3.0187,                 0.6031,                0.04034,                0.02531,                 0.0053,                 2.6417,                  4.966,                 3.2504,              0.0010743,              0.0010743,              0.0010743
                      7,                 2.4512,                 3.7721,                 2.9289,                0.01076,                0.57808,                0.04249,                0.01105,                 2.5471,                 3.9995,                 3.1264,               0.001067,               0.001067,               0.001067
                      8,                 2.3985,                 3.6888,                 2.8587,                0.80961,                0.03529,                0.04412,                0.01105,                 2.3481,                 3.8497,                 2.9387,              0.0010597,              0.0010597,              0.0010597
                      9,                 2.3123,                 3.5918,                 2.7693,                0.02826,                0.13181,                0.03776,                0.01188,                 2.3466,                 3.7211,                  2.992,              0.0010523,              0.0010523,              0.0010523
                     10,                 2.2778,                 3.5114,                 2.7188,                0.51826,                0.05095,                0.05565,                0.01733,                 2.3206,                 3.6906,                  2.976,               0.001045,               0.001045,               0.001045
                     11,                 2.2115,                 3.4367,                 2.6546,                0.65936,                0.06271,                0.04395,                0.01567,                 2.2183,                 3.5616,                 2.8971,              0.0010377,              0.0010377,              0.0010377
                     12,                 2.1343,                 3.3316,                 2.5944,                0.66053,                0.06822,                0.05276,                0.01705,                 2.1537,                 3.5231,                 2.7423,              0.0010303,              0.0010303,              0.0010303
                     13,                 2.0472,                 3.2768,                 2.5098,                0.28362,                 0.0677,                0.04734,                0.01689,                 2.1284,                 3.4009,                 2.7386,               0.001023,               0.001023,               0.001023
                     14,                 2.0227,                 3.2121,                 2.4716,                0.27386,                0.10557,                0.05385,                0.01588,                 2.0777,                 3.4364,                 2.6983,              0.0010157,              0.0010157,              0.0010157
                     15,                 1.9845,                 3.1458,                 2.4478,                0.12469,                0.09759,                0.08031,                 0.0319,                 2.0923,                  3.453,                 2.7093,              0.0010083,              0.0010083,              0.0010083
                     16,                  1.917,                 3.0535,                 2.3936,                0.61974,                0.06704,                0.10676,                0.04162,                 1.9822,                 3.1757,                 2.5954,               0.001001,               0.001001,               0.001001
                     17,                 1.9085,                 3.0478,                 2.3623,                0.07164,                0.16781,                0.09719,                0.04784,                 1.9274,                 3.2541,                 2.5241,             0.00099368,             0.00099368,             0.00099368
                     18,                 1.8774,                 2.9714,                 2.3307,                0.12375,                 0.2564,                0.10103,                0.04015,                 1.9356,                 3.2704,                 2.5203,             0.00098635,             0.00098635,             0.00098635
                     19,                 1.8272,                 2.9134,                 2.2581,                0.14218,                0.16123,                0.10464,                0.05244,                 1.8619,                 3.1014,                 2.4686,             0.00097901,             0.00097901,             0.00097901
                     20,                 1.8013,                 2.8605,                  2.242,                0.16559,                0.26377,                0.10227,                0.04607,                 1.9564,                 3.1528,                 2.5632,             0.00097168,             0.00097168,             0.00097168
                     21,                 1.8077,                 2.8536,                   2.22,                0.15328,                0.23703,                0.13089,                0.06328,                 1.8622,                 2.9891,                 2.4705,             0.00096435,             0.00096435,             0.00096435
                     22,                 1.8058,                 2.8537,                 2.2485,                0.12989,                0.20674,                0.12096,                0.05608,                 1.8787,                 3.0679,                 2.4957,             0.00095702,             0.00095702,             0.00095702
                     23,                 1.7497,                 2.7851,                 2.1831,                0.33991,                0.19422,                0.13215,                0.06667,                 1.7918,                 3.0512,                 2.4432,             0.00094968,             0.00094968,             0.00094968
                     24,                 1.7444,                 2.7762,                  2.186,                0.16565,                0.24331,                0.13798,                 0.0703,                 1.8087,                 3.0633,                 2.4347,             0.00094235,             0.00094235,             0.00094235
                     25,                  1.707,                 2.7063,                 2.1567,                0.23118,                 0.2366,                0.16293,                0.08552,                 1.8548,                 3.0071,                 2.4754,             0.00093502,             0.00093502,             0.00093502
                     26,                 1.7078,                 2.7034,                 2.1549,                0.18925,                0.18833,                0.13315,                0.06039,                 1.8573,                 3.0037,                 2.4678,             0.00092769,             0.00092769,             0.00092769
                     27,                 1.6578,                 2.6185,                 2.1045,                0.24019,                0.27585,                0.18076,                0.09087,                 1.8092,                 2.9439,                  2.399,             0.00092035,             0.00092035,             0.00092035
